date,title,description,source
2022-06-01,"WATCH LIVE — A New Labor Movement: How Workers Are Unionizing Amazon, Starbucks, REI And Apple","Tune in on July 20 to watch our panel discussion with union organizers from the Amazon, REI, Starbucks and Apple battles.",HuffPost
2021-12-31,26 Of The Funniest Tweets About Cats And Dogs This Week (Dec. 25-31),"""Animals are so funny you can name a cat iphone 3 and he dont know wtf goin on.""",HuffPost
2021-11-18,"Under Pressure, Apple Will Allow Self-Repairs To iPhones, Macs",The company has long prohibited users to repair their own devices. The shift reflects a strengthening “right to repair” movement.,HuffPost
2021-09-17,"Apple, Google Cave To Kremlin, Remove Opposition App As Russian Voting Begins","The app, supported by imprisoned opposition leader Alexei Navalny, tells voters which candidates are likely to defeat those backed by Russian authorities.",HuffPost
2021-06-23,Hong Kong's Pro-Democracy Newspaper Apple Daily To Shut Down After Editors' Arrests,The paper's print edition and online edition will cease no later than Saturday due to “the current circumstances prevailing in Hong Kong.”,HuffPost
2021-05-22,Apple CEO Faces Tough Questions About App Store Competition,The rare courtroom appearance by the Apple CEO came during the closing phase of a three-week trial revolving around an antitrust case brought by Epic Games.,HuffPost
2021-05-07,Twitter Users Drag Josh Hawley For Hypocritical Tweet About Amazon,The Trump-loving senator used an iPhone to make a Twitter post promoting his anti-big tech book on Amazon.,HuffPost
2020-10-28,Jon Stewart To Host New Show On Apple TV+,"The comedian and activist left ""The Daily Show"" more than five years ago.",HuffPost
2020-09-13,Roger Stone Calls For Trump To 'Declare Martial Law' To Seize Power If He Loses,"Trump's ally says the president can bust Mark Zuckerberg, Tim Cook, the ""Clintons"" and others who oppose him.",HuffPost
2020-05-15,How To Use Every Kind Of Vinegar You Have In Your Pantry,"What to do with that apple cider vinegar, balsamic, red, white and more.",HuffPost
2020-03-06,Several Companies Will Not Appear At SXSW Due To Concerns About Coronavirus,"Netflix and Apple are the latest companies to pull out of this year's festival, citing coronavirus concerns.",HuffPost
2020-03-03,"China Forcing Muslims To Work In Factories For Nike, Apple, Others: Report","The country has been heavily criticized for its program of detaining Uighur Muslims and other ethnic minorities in ""reeducation"" camps.",HuffPost
2020-02-18,"Apple Warns China Virus Will Cut iPhone Production, Sales","The Cupertino, California-based company said Monday that all of its iPhone manufacturing facilities are outside Hubei province, the epicenter of the outbreak.",HuffPost
2019-12-19,These Apple AirPods Are On Sale And Can Arrive Before Christmas,This deal is music to our ears.,HuffPost
2019-03-25,Wyatt Mitchell's Jumpsuit Stole The Show At Apple's Latest Event,These white coveralls are a far cry from the black mock turtlenecks that starred at Apple events for so many years.,HuffPost
2019-02-09,Apple To Pay Teen Who Uncovered FaceTime Eavesdropping Bug,"14-year-old Grant Thompson's family will be given a financial reward, including money for his education, as a thanks.",HuffPost
2019-02-07,Apple Cracks Down On Apps That Quietly Record Users' Screen Time,"The decision follows a number of major companies using so-called ""session replay"" to record users' activity.",HuffPost
2019-02-02,Apple Delays FaceTime Update After Eavesdropping Bug Fiasco,Apple will reportedly issue the software update next week,HuffPost
2019-01-29,FaceTime Users Urged To Disable App Over Eavesdropping Bug,Apple has announced plans to make a software update available this week to solve the issue.,HuffPost
2018-12-22,Bad Lip Reading Imagines The Apple Product Launch Of Your Cheese Nightmares,Will the Wish Prince become the most sought-after gift of 2019?,HuffPost
2018-10-25,China Trolls Trump Over Report It's Hacked His iPhone,Russian and Chinese spies reportedly listen in on the president's phone calls regularly.,HuffPost
2018-10-11,What Is Kanye West's iPhone Password?,😱😱😱😱😱😱,HuffPost
2018-05-10,Jet Just Launched Its Own Apple Store With Some Incredible Deals,"If you’re on a time crunch to find a perfect Mother’s Day gift that’ll still arrive on time, it’s your lucky day. Amazon",HuffPost
2018-05-07,When Your iPhone Reinforces Sexism,"Tech is created by humans, and it’s vulnerable to our biases and stereotypes.",HuffPost
2018-05-04,Apple Watch Credited With Saving New York Man's Life,The device alerted him to an alarmingly fast heart rate.,HuffPost
2018-04-10,Instagram Rolls Out Focus Feature That Rivals iPhone Portrait Mode,The new feature works on some Android devices and on Apple phones back to the iPhone 6s.,HuffPost
2018-04-09,Apple Co-Founder Steve Wozniak Ditches Facebook After Data Scandal,"""It's brought me more negatives than positives.""",HuffPost
2018-02-23,"Apple, Amazon, YouTube Urged To Pull NRA TV Channel","“It’s time for tech leaders to acknowledge their role in helping the NRA spread this dangerous content and cut it out.""",HuffPost
2018-02-06,40 Tweets That Sum Up Life With 4-Year-Olds,"""Hell hath no fury like a 4yo whose apple slices are on the wrong side of the plate.""",HuffPost
2018-01-08,Investors Urge Apple To Tackle ‘Growing’ Evidence Of Device Addiction In Kids,"""There is no good reason why you should not address this issue proactively,"" the shareholders wrote.",HuffPost
2018-01-05,Apple Eyes Fix For Chip Flaw Leaving Consumers Without Secure Web Browsing,"With Safari and virtually all other popular browsers not patched, hundreds of millions of iPhone and iPad users may not have secure means of web browsing until Apple issues its patch.",HuffPost
2017-12-29,"Apple Apologizes For Slowed iPhones, Drops Price Of Battery Replacements","The company dropped battery prices by $50, but some customers still aren't satisfied.",HuffPost
2017-12-24,Apple Hit With Lawsuits After Admitting It Intentionally Slowed Down iPhones,"One lawsuit claims the tech giant engaged in ""deceptive, immoral and unethical"" practices.",HuffPost
2017-12-21,Apple Confirms It Slows Down Old iPhones As Their Batteries Age,But only in certain circumstances.,HuffPost
2017-12-15,Woman In China Says Colleague’s Face Was Able To Unlock Her iPhone X,"It could also be cheeky passcode training, an Apple spokesman says.",HuffPost
2017-12-11,Apple To Buy Shazam Amid Rumors It Will Phase Out iTunes Downloads,Apple says the rumors aren't true.,HuffPost
2017-11-29,27 Food Names Parents Are Giving Their Babies,Apple and Kale are just the tip of the iceberg.,HuffPost
2017-11-22,"Illegal Student Labor Used To Assemble iPhone X, Apple Admits","Transit school students said they worked 11-hour shifts for required ""work experience.""",HuffPost
2017-11-20,Apple Black Friday Deals That Are Actually Worth Your Time And Money,The wait is over.,HuffPost
2017-11-07,Donald Trump Met The 'Pen Pineapple Apple Pen' Guy And There Are Pictures,They both couldn't have appeared happier at the encounter.,HuffPost
2017-11-04,11 Sweet And Savory Apple Recipes You'll Fall For,Baked oatmeal is a traditional Amish breakfast casserole that has a consistency similar to bread pudding. There are endless,HuffPost
2017-10-17,Your Step-By-Step Guide To Setting Up Your Kid's iPhone For Parental Controls And Privacy,It might be easier than you think.,HuffPost
2017-10-13,Director Of Tarantino Documentary Wants Out Of Weinstein Co. Partnership,"Tara Wood joins Apple, Amazon and Lin-Manuel Miranda in attempting to drop the company from their projects.",HuffPost
2017-10-12,"Apple, Starbucks And Others Petition SCOTUS To Ban LGBTQ Workplace Discrimination",A massive display of support for LGBTQ people on a corporate level.,HuffPost
2017-09-14,Ellen DeGeneres X-pertly Roasts The Hell Out Of The iPhone X,"Preach, Ellen, preach!",HuffPost
2017-09-14,'Conan' Answers The Dumbest Questions About iPhone X's Face ID,"""Does it work with the butt?""",HuffPost
2017-09-13,James Corden: Apple's New iPhone X Is Perfect For Ted Cruz,"For, yeah, all the reasons you would suspect.",HuffPost
2017-09-13,Twitterverse Trolls iPhone X's New Security Feature With Arya Stark Jokes,"""A girl can unlock any iPhone X in the world.""",HuffPost
2017-09-13,This iPhone X Unveiling Parody Doesn't Pull Any Punches,"Introducing the $1,000 emoji machine.",HuffPost
2017-09-12,The New iPhone Led Twitter To Think Of #iPhoneFeatures4Politicians,"""Ted Cruz Control,"" anyone?",HuffPost
2017-09-12,Apple Launches iPhone X With Edge-To-Edge Display,"The phone features wireless charging, an infrared camera and special hardware for facial recognition.",HuffPost
2017-09-06,Dreamers Are As American As Apple Pie,The American dream will lose all credibility if we deny it to those who worked so hard to achieve it.,HuffPost
2017-09-04,Tim Cook Not Backing Down From Protecting Dreamers,The Apple CEO said he stood with his young undocumented colleagues.,HuffPost
2017-08-16,Apple Is Devoting $1 Billion To Original Series,"Because, you know, there definitely isn't already too much TV to watch.",HuffPost
2017-08-09,Will Smith And James Corden Get Jiggy With It In 'Carpool Karaoke' Series Premiere,The show will air exclusively on Apple Music.,HuffPost
2017-07-31,Is AR Apple's Next Act?,"Take a deep breath. Ten years ― that’s how long it’s been since the first iPhone arrived. It launched a new era, a juggernaut",HuffPost
2017-07-24,The Rock Proves He Can Do Literally Anything In Hilarious New Apple Short Film,Dwayne Johnson hits all of his life goals... with a little help from Siri.,HuffPost
2017-07-05,Tim Cook's July Fourth Tweet Has A Not-So-Subtle Message,Crystal clear.,HuffPost
2017-06-22,"I Took My Family To A Gurdwara, And You Should Too",Remember that Sikhs are just like you and me. Their values are just as American as baseball and apple pie.,HuffPost
2017-06-12,Apple Rejects New Game App Featuring 'Objectionable' Pepe The Frog,Alt-right mascot doesn't make the cut for the Apple store.,HuffPost
2017-06-10,Tim Cook 'Reveals' Who Is Really Behind Donald Trump’s Late Night Tweets,The Apple CEO trolled the president during his commencement speech at MIT.,HuffPost
2017-06-05,Hate Autoplay Videos? New Mac OS Will Let You Block Them On Safari.,Apple's announcement drew a cheer from the crowd at a conference Monday.,HuffPost
2017-05-17,Jeff Goldblum Says He Was Almost The Voice Of Apple,Could you imagine if Siri was Goldblum?!,HuffPost
2017-05-04,Canada’s Next Big Thing - The City Of Mississauga,"The 700,000+ population strong city of Mississauga is poised to be the next big Apple of Canada. With the latest developments",HuffPost
2017-04-18,Former Apple Engineer Describes Domestic Abuse In Chilling Courtroom Statement,"""What’s the point of me speaking up now?” she said. “I get heard to be ignored?""",HuffPost
2017-04-14,"An iPhone Turned Up In This Guy's Subaru Dashboard, Prompting The Most Entertaining Internet Mystery Of All Time",Buckle up.,HuffPost
2017-03-08,Apple Has Already Patched Many Of The WikiLeaks Exploits,"Well, that didn't take long.",HuffPost
2017-03-07,Americans Want Chaffetz To Get Them Health Care That Costs Less Than An iPhone,"""My son's hip surgery was $10,000 with insurance. My iPhone $20 a month.""",HuffPost
2017-02-21,"New Year, New Phone, Same Me","In January, my iPhone was confirmed dead by the Apple Store in Saint Laurent du Var. It had gone dark the day prior, unresponsive",HuffPost
2017-02-06,Apple Pie Toast Is The Healthy-ish Breakfast You’ve Been Missing,"Get to the toast, lady.",HuffPost
2017-01-18,"Behold Fiona Apple's Women's March Anthem, 'Tiny Hands'","Fully titled ""We Don't Want Your Tiny Hands, Anywhere Near Our Underpants.""",HuffPost
2017-01-09,Apple Music Taps All Your Faves To Host New 'Carpool Karaoke' Series,Now we're excited.,HuffPost
2017-01-04,Technology Allows Tattoo Artist To Really Get Cutting-Edge,An iPad Pro and Apple Pencil have “changed my reality as an artist. Tenfold.”,HuffPost
2017-01-01,Is Apple Near The End Of Their Run?,Is Apple near the end of their run? Apple has become the number one trusted brand for computers and cell phones. People buy,HuffPost
2016-12-26,Breaking Up With Apple After Living Together For 32 Years,I thought we would grow old and die together.,HuffPost
2016-12-23,Consumer Reports Reconsidering Low Rating For Latest MacBook Pro After Apple Issues Bug Fix,"Apple said a ""hidden Safari setting"" caused Consumer Reports to produce inconsistent battery life test results.",HuffPost
2016-12-19,Fiona Apple Sends A Big 'F**k You' To Trump At Standing Rock Benefit Concert,The crowd loved it.,HuffPost
2016-12-14,Trump Meets With Silicon Valley Tech Titans At His Manhattan Tower,"Attendees included Apple Inc’s Tim Cook, Facebook Inc’s Sheryl Sandberg and Tesla Motors Inc’s Elon Musk.",HuffPost
2016-12-09,"Hooded Thieves Swarm San Francisco Apple Store, Swipe Gadgets",Crooks hit up the same outlet twice in one week.,HuffPost
2016-12-06,Supreme Court Rules Samsung Won't Owe Apple $400 Million Over Patent Violations,The justices sent the case back to a lower court to reassess the proper amount of damages.,HuffPost
2016-12-03,Alarming Numbers Of People Are Trying To Rip Apples Open With Their Bare Hands,Welcome to the Super Sage Apple Challenge.,HuffPost
2016-11-21,Drake's New Apple Ad Adds To Taylor Swift Speculation,Is there bad blood or mad love?,HuffPost
2016-11-15,Molecular Traces On Your iPhone Screen Reveal A Scary Amount Of Personal Information,"Scientists can determine your diet, drugs, cosmetics and whether you spend time outdoors from just a quick swab.",HuffPost
2016-11-13,Fake Ruth Bader Ginsburg Won't Quit Under President Trump In 'SNL' Skit,"""I’m eating an apple a day to keep Ben Carson away.""",HuffPost
2016-11-11,Sunday Meal Prep: 5 Recipes To Distract Yourself With This Weekend,Including apple pie overnight oats and more.,HuffPost
2016-11-10,Tim Cook Sends Memo To Reassure Apple Employees After Trump's Win,"""Apple’s North Star hasn’t changed,"" the company's CEO wrote to U.S. employees Wednesday.",HuffPost
2016-11-06,Benedict Cumberbatch Spoofs Apple's 1984 Commercial In 'SNL' Toilet Ad,"""It's the future.""",HuffPost
2016-10-31,The Mac Startup Sound Is Gone,"Say it ain't so, Apple!",HuffPost
2016-10-31,Tim Cook Unveils The New Game-Changing Apple Ghost Costume,Only $349.99.,HuffPost
2016-10-31,Centuries-Old Dutch Renaissance Faces Make Hilarious New iPhone Emoji,"There’s a real art to finding the perfect emoji, image, or GIF to respond to a text. And for Molly Young, there is no better",HuffPost
2016-10-29,Funny Or Die Spoofs Apple's New Halloween Product Line,Woooo!,HuffPost
2016-10-25,Apple Annual Profits Fall For First Time In 15 Years,The fall continues.,HuffPost
2016-10-18,"Hillary Clinton Considered CEOs Of Apple, Coca-Cola, GM And Starbucks For VP","As far as corporate leaders go, it's a pretty diverse bunch.",HuffPost
2016-10-11,Supreme Court Seems Skeptical Samsung Should Pay Apple $400 Million Over iPhone Patent,The justices may allow a jury to recalculate how much the iPhone maker is really owed.,HuffPost
2016-10-07,Appeals Court Restores $120 Million Award To Apple In Patent Fight With Samsung,The two companies will face off again next week at the Supreme Court.,HuffPost
2016-10-02,See What Happens If An iPhone Is Sucked Into A Treadmill,"Bizarrely, it takes on a surprisingly pleasing shape.",HuffPost
2016-10-02,Cinnamon Apple Raisin Cake,,HuffPost
2016-09-29,Mary J. Blige Is Tired Of All The 'Hateration' Over Her Apple Music Ad,Mary J. Blige told us to STFU then deleted it. 😂😂😂,HuffPost
2016-09-29,"Apple Fritter Season Is Here, And So Are The Recipes You'll Need","They're like an apple pie and a doughnut in one. Trust us, you want some.",HuffPost
2016-09-27,It's Time To Stop Calling Black Protesters 'Unpatriotic',Standing up for your rights is as American as apple pie.,HuffPost
2016-09-26,All The Things You Don't Have To Do With Your Kids This Fall,1. You don't have to go apple picking.,HuffPost
2016-09-24,Bill Maher Rips Apple For Releasing New iPhones Every Year,"“Do your friends really need clearer pictures of your lunch?""",HuffPost
