date,title,description,source
2021-04-08,Nike Settles Lawsuit With Company Behind Lil Nas X's 'Satan Shoes',The settlement requires the MSCHF design studio to voluntarily buy back any Satan Shoes and companion “Jesus Shoes.”,HuffPost
2020-03-03,"China Forcing Muslims To Work In Factories For Nike, Apple, Others: Report","The country has been heavily criticized for its program of detaining Uighur Muslims and other ethnic minorities in ""reeducation"" camps.",HuffPost
2019-04-06,Nike Slams Michael Avenatti's 'Disgraceful' Accusations That It Bribed Teen Athletes,Blackmail charges against the star lawyer didn't stop him from releasing what he claimed were damaging documents involving the company.,HuffPost
2018-09-12,Alabama Pastor Destroys Own Nike Gear During Anti-Colin Kaepernick Sermon,"""I got news for you, I bought my last pair of Nike shoes,"" the Rev. Mack Morris told his cheering Woodridge Baptist Church congregation.",HuffPost
2018-04-08,'SNL' Just Nailed Your Relationship With Leggings,The show's version of a Nike Women's ad is all too relatable.,HuffPost
2017-12-05,Nike Just Came Out With Its First Sports Hijab,"“It’s a reminder to us Muslim women that we can achieve anything in the world.""",HuffPost
2017-03-13,Nike Middle East's Badass New Ad Breaks Barriers And Defies Stereotypes,One of the most empowering things a woman can do for another woman is inspire her to come into herself and take charge of,HuffPost
2017-03-08,This Powerful New Nike Ad Redefines What 'Girls Are Made Of',"We are way more than ""flowers,"" ""gossip"" and ""marmalade.""",HuffPost
2017-02-13,"New Nike Ad With LeBron James, Serena Williams Makes Forceful Call For Equality",The campaign comes after the company blasted President Donald Trump's immigration ban for threatening diversity.,HuffPost
2017-01-30,"Nike CEO Blasts Trump Executive Order Targeting Muslims, Refugees","""This is a policy we don't support.""",HuffPost
2016-12-16,Great News: Nike's Expanding Its Plus-Size Offerings,Our holiday wish lists just took a turn.,HuffPost
2016-12-14,"Nike Just Made So Much Fun Of Your Internet Habits, You'll Actually Work Out","""Opinion about a thing. Hashtag about the opinion. Opinions about the opinion. A hashtag about the hashtag. Seven different consecutive hashtags about the opinion.""",HuffPost
2016-11-28,Black Friday Got Really Out Of Hand At A Nike Store Near Seattle,"""Like an earthquake leveled the place.""",HuffPost
2016-11-15,You'll Need An Appointment To Get Nike's New Self-Lacing Sneakers,"Oh, and $720.",HuffPost
2016-10-05,Nike Is Raffling Off These 'Back To The Future' Self-Lacing Shoes For A Very Good Cause,They're the coolest thing since Michael J. Fox time traveled.,HuffPost
2016-09-02,Stunning Nike Ad Dubs Serena Williams The 'Greatest Athlete Ever',Get the debate started.,HuffPost
2016-08-24,"Simone Biles, Serena Williams And More Look Fierce AF In New Nike Ad",Do not mess with these Olympians 💪,HuffPost
2016-08-08,Killer Mike Urges Michael Jordan To Drop Air Jordan Profits Into A Black-Owned Bank,Killer Mike’s push for black people—athletes and entertainers included—to move their money into black-owned banks continues,HuffPost
2016-05-12,Nike Is The Latest Company To Ramp Up Parental Leave,The world's biggest sportswear company gives a big boost to new parents.,HuffPost
2016-04-29,18 Things We Learned About Nike By Reading Phil Knight's Memoir,So that's why the boxes are orange.,HuffPost
2016-04-20,Nike Ends Johnny Manziel Endorsement Deal,The move was made sometime after the 2015 season ended.,HuffPost
2016-03-23,You Won't Believe How Nike Lost Steph To Under Armour,"It's Oct. 7, 2015, and the Cavs are hosting the Hawks in Cincinnati. It's the NBA preseason, a nothing game, really -- save",HuffPost
2016-03-17,"Eat Your Heart Out, Marty McFly: Nike Unveils Self-Lacing Sneakers For The Masses",The Nike HyperAdapt 1.0 will go on sale at the end of the year.,HuffPost
