date,title,description,source
2022-07-20,Twitter Lawyer Calls Elon Musk 'Committed Enemy' As Judge Sets October Trial,Delaware Chancery Judge Kathaleen McCormick dealt the world's richest person a setback in ordering a speedy trial on his abandoned deal to buy Twitter.,HuffPost
2022-07-07,Elon Musk Reportedly Had Twins Last Year With One Of His Company Execs,"It brings his total of known children to nine: triplets, two sets of twins and his two kids with musician Grimes.",HuffPost
2022-04-27,Ex-Twitter CEO Dings Elon Musk For Attacks On Twitter's Top Lawyer,A one-sided feud between Musk and Vijaya Gadde has turned even uglier.,HuffPost
2022-04-26,Jimmy Fallon: Elon Musk Now Owns The Heavens — And Twitter Hell,And former President Donald Trump goofs up the the name of his own social media operation.,HuffPost
2022-04-14,Elon Musk Offers To Buy 100% Of Twitter,"“My offer is my best and final offer and if it is not accepted, I would need to reconsider my position as a shareholder,” Musk said in a filing.",HuffPost
2022-04-12,Investor Sues Elon Musk Over His Delayed Twitter Filing,"Marc Rasella says he sold shares of Twitter at “artificially deflated prices,” unaware that Musk had made a large purchase in the social media platform.",HuffPost
2022-04-11,The Most Popular Movies On Netflix Right Now Besides 'The Call',A new Polish crime drama and SpaceX documentary are also trending on the streaming service.,HuffPost
2022-02-06,Gov. Ron DeSantis Going After GoFundMe For Dumping Anti-Vaccine Ottawa Truckers,"Donald Trump Jr., Rep. Jim Jordan and Elon Musk love the truckers being sued by Ottawa residents for blasting air horns 16 hours a day.",HuffPost
2021-05-09,Elon Musk Claims He Is First Person With Asperger's To Host 'SNL',"""Or at least the first to admit it,"" he joked.",HuffPost
2021-05-08,Here Comes Trouble: Elon Musk Teases He's A 'Wild Card' Before 'Saturday Night Live' Debut,"Musk goaded his foes ahead of his ""SNL"" hosting gig.",HuffPost
2021-05-02,'Saturday Night Live' Cast Member Chris Redd Drags Elon Musk Before His Big Hosting Debut,Twitter has some other sketch ideas for the Tesla CEO.,HuffPost
2021-04-24,Watch Consumer Reports Trick A Tesla Into Driving Without A Driver,The problem was exposed after two men were killed in a Tesla that authorities said was driverless but CEO Elon Musk denied.,HuffPost
2021-04-19,"2 Killed In Fiery Crash When Driverless Tesla Hits Tree In Texas, Say Officials","One man was in the front passenger seat, the other sat behind him, according to authorities.",HuffPost
2021-02-19,"Bitcoin Hits $1 Trillion Market Cap, Soars To Another Record High","Bitcoin’s gains have been fueled by signs it is gaining acceptance among mainstream investors and companies, from Tesla and Mastercard to BNY Mellon.",HuffPost
