date,title,description,source
2026-04-17,Memorial grows outside family home of Celeste Rivas after D4vd’s arrest for her murder,"The family home of Celeste Rivas has become ground zero for a memorial honoring the 14-year-old found dismembered in the trunk of a Tesla linked to D4vd. Less than 24 hours after the dramatic arrest of the singer for Rivas’ murder, friends and neighbors left …",New York Post
2026-04-17,"WATCH: ‘Bike bus’ movement gains traction, drawing kids and celebrities","Founder Sam Balto explains how group rides to school are spreading globally, building community and attracting stars like Benson Boone and Justin Timberlake.",Abcnews.com
2026-04-17,Purpose Investments Inc. Announces April 2026 Distributions,"TORONTO, April 17, 2026 (GLOBE NEWSWIRE) — Purpose Investments Inc. (“Purpose”) is pleased to announce distributions for the month of April 2026 for its open-end exchange traded funds and closed-end funds (“the Funds”). The ex-distribution date for all Open-E…",Financial Post
2026-04-17,Tesla’s Cybertruck Sales Have Been Bolstered by Elon Musk’s SpaceX and Other Companies,"Sales of the Tesla Cybertruck were inflated in the fourth quarter of 2025 by other companies owned by Elon Musk, including SpaceX.",Robb Report
2026-04-17,Purpose Investments Inc. Announces April 2026 Distributions,"TORONTO, April 17, 2026 (GLOBE NEWSWIRE) -- Purpose Investments Inc. (“Purpose”) is pleased to announce distributions for the month of April 2026 for its open-end exchange traded funds and closed-end funds (“the Funds”).",GlobeNewswire
2026-04-17,Jim Cramer on the market's 'remarkable' rally — and what to watch in a big earnings week ahead,"Jim Cramer says this is one of the most ""remarkable"" rallies he's seen, and provides guidance for the week ahead.",CNBC
2026-04-17,What to know about singer D4vd's arrest in 14-year-old Celeste Rivas Hernandez's killing,"Seven months after a 14-year-old girl's body was found in D4vd's towed SUV, authorities say the alt-pop singer has been arrested on suspicion of killing her.",Newsday
2026-04-17,WATCH: Sea lion pup rescued after wandering into San Francisco neighborhood,The San Francisco Police Department and the Marine Mammal Center rescued a sea lion pup that had wandered out of its usual habitat and found its way to a neighborhood multiple blocks inland.,Abcnews.com
2026-04-17,"These EV deals are hard to pass up with up to $10,000 in discounts","With gas prices surging, driving an EV sounds even more attractive right about now. This month, several automakers are offering discounts of up to $10,000 or more on popular EVs, including the Hyundai IONIQ 9 and Chevy Equinox EV.



 more…",Electrek
2026-04-17,"D4vd's Lawyers Speak Out After His Arrest, Say Rapper 'Was Not the Cause' of Celeste Rivas-Hernandez's Death","D4vd‘s lawyers are responding to his arrest. On Thursday (April 16), the LAPD announced that the 21-year-old rapper, whose real name is David Anthony Burke, was arrested for the murder of 14-year-old Celeste Rivas-Hernandez. His arrest comes seven months afte…",Just Jared
2026-04-17,Elon Musk's SpaceX was major buyer of Cybertrucks in Q4,"SpaceX (SPAX.PVT) accounted for nearly 20% of Tesla (TSLA) Cybertruck sales in Q4 2025, according to a Bloomberg report. Yahoo Finance Senior Autos Reporter ...",Yahoo Entertainment
2026-04-17,"SP500 to 7300+, TESLA to $430 Next Week or Two. Multi-year AI Boom Will Continue","Business deals with Intel, Samsung and TSMC will boost Tesla and XAI supply and demand challenges. How will Terafab and Teralab fit into the plan. Accredited Investors can sign up for educational discussion and Q&A with Brian Wang https://forms.gle/sdDwj852Fn…",Next Big Future
2026-04-17,The EV Collapse in America Shows Early Signs of Relenting,"Despite a lot of headwinds, the fuel crisis is a boon for the EV industry.",Gizmodo.com
2026-04-17,"Podcast: GM Energy, Tesla HW3 reckoning, Ford reshuffles EVs, Donut Lab probs, more","In the Electrek Podcast, we discuss the most popular news in the world of sustainable transport and energy. In this week’s episode, we discuss Tesla having its HW3 reckoning, Ford reshuffling its EV unit, Donut Lab being in hot water, and more.



 more…",Electrek
2026-04-17,"Trump govt is hiring again, remember Doge?","The Trump administration is now actively recruiting federal employees after earlier efforts to reduce government jobs. Job postings have increased significantly, with new drives targeting tech, legal, and project management roles. While some departments may s…",The Times of India
2026-04-17,WATCH: Man allegedly kills woman pregnant with his baby,"Police are searching for Kevin Faux, 24, who is charged with murder.",Abcnews.com
2026-04-17,"D4vd’s Parents ‘Sad and Disappointed’ Over Arrest, Proclaim He’s ‘Innocent,’ Family Lawyer Says",The Texas-based parents learned of the arrest while still fighting grand jury subpoenas seeking to haul them in front of a panel in Los Angeles,Rolling Stone
2026-04-17,"WATCH: Jill Biden bids $35,000 for guest role on ‘Heated Rivalry’","The former first lady raised her paddle at $35,000 at the LGBTQ Community Center’s annual Center Dinner Thursday night, but was quickly outbid.",Abcnews.com
2026-04-17,Singer d4vd arrested on suspicion of killing a 14-year-old girl found dead in his Tesla,,Yahoo Entertainment
2026-04-17,"Crypto Trader Turns $2,500 Into $500K on Skyrocketing Ethereum Meme Coin","A meme coin trader turned $2,500 into nearly $500,000 in a matter of hours via the Elon Musk-linked ASTEROID token on Ethereum.",Decrypt
2026-04-17,"'I’ve waited seven years!': Tesla owners in Europe demand $7,500 refund as Full Self-Driving is locked out for older vehicles","“Tesla owes me €6,800” —European Model 3 owner starts petition for Full Self-Driving refund, as Tesla faces $14.5 billion in mounting lawsuits across the globe.",TechRadar
2026-04-17,Elon Musk Proposes 'Universal High Income' Payments to Address AI-Driven Job Displacement,"Tesla and xAI CEO Elon Musk has called for the United States federal government to provide ""Universal HIGH INCOME"" checks to citizens as he believes AI and robotics will radically reshape the employment landscape.
The post Elon Musk Proposes ‘Universal High I…",Breitbart News
2026-04-17,"Singer Arrested in Sandra Bullock’s Former Home, Charged With Murder in High-Profile Case","Singer D4vd, who was arrested on Thursday, April 16, in connection to the death of a 14-year-old girl found in an abandoned car, was reportedly staying at...",inTouch Weekly
2026-04-17,Electric vehicle owners could earn thousands by supporting power grid,"Electric vehicles could store renewable energy when there is excess supply and give it back to the grid when demand peaks, but car companies disagree on the best way to do that",New Scientist
2026-04-17,"Aventon expands sale with Aventure M mid-drive all-terrain e-bike at new $2,699 low, Anker eufy exclusive solar security deals, more",We’re closing out this week’s Green Deals with plenty of amazing sales – some of which even have exclusive bonus savings for our readers only. Things start with Aventon’s expanded Spring Sale that has added the premium Aventure M Mid-Drive All-Terrain Smart e…,Electrek
2026-04-17,D4vd Arrested After a Seven-Month Investigation: How We Got Here,The singer D4vd was arrested on suspicion of murdering Celeste Rivas — here's a timeline of all that's happened since Rivas' body was discovered.,Rolling Stone
2026-04-17,What to know about singer D4vd's arrest in 14-year-old's killing,"Seven months after a 14-year-old girl's body was found in D4vd's towed SUV, the alt-pop singer has been arrested on suspicion of killing her, authorities said.",PBS
2026-04-17,Intel’s new Wildcat Lake chips take aim at the MacBook Neo with AI as the differentiator,"Intel has launched its Core Series 3 processors, codenamed Wildcat Lake, in what amounts to a direct response to the MacBook Neo. The new chips, announced on 16 April, target the same budget laptop segment that Apple redefined last month with its $599 machine…",The Next Web
2026-04-17,Tesla tells HW3 owner to ‘be patient’ after 7 years of waiting for FSD,"The Dutch Tesla owner who launched a collective claim against Tesla over FSD on HW3 cars called Tesla to ask about the €6,400 he paid for “Full Self-Driving” in 2019. After 7 years of waiting, Tesla’s answer was to “just be patient.”



It’s an almost comical…",Electrek
2026-04-16,Musk's foundry push forces chipmakers to rethink customer relationships,"Elon Musk has said that the computing demands of Tesla, xAI, and SpaceX will far exceed current semiconductor supply capacity, arguing that existing production can meet only a fraction of future needs.",Digitimes
2026-04-16,WATCH: NYPD officer chases purse thief down street on horseback,"A New York City police officer on horseback chased down a purse thief on a crowded Manhattan street, catching the encounter on his bodycam.",Abcnews.com
2026-04-16,Elon Musk Amplifies Baseless Claim About COVID-19 Vaccine,"Elon Musk this week amplified an unfounded claim, based on a distortion of vaccine safety monitoring data, that COVID-19 vaccines killed tens of thousands of people in Germany. The vaccines saved millions of lives worldwide during a deadly pandemic, and serio…",FactCheck.org
2026-04-16,"Palantir Paid No Federal Income Tax in 2025 as It Partnered With ICE, Pentagon",Its $0 tax bill comes despite the company raking in $1.6 billion and landing a $10 billion military contract last year.,Truthout
2026-04-16,WATCH: President Trump speaks to reporters,President Trump answered questions from reporters after he was asked about posting a now-deleted AI-generated image that depicted him as a Jesus-like figure.,Abcnews.com
2026-04-16,WATCH: NASA releases new footage of Artemis II launch,"NASA has released new footage from onboard Artemis II's Space Launch System during launch, using cameras NASA calls the Flight Imaging Launch Monitoring Real-time System.",Abcnews.com
2026-04-16,"Tesla Wants a $50,000 Penalty for Anyone Who Tries to Resell Its Signature Model S and X",Why would anyone want to sell their Tesla?,Gizmodo.com
2026-04-16,"If There Is A Limited Supply Of Bitcoin, How Many People Can Really Own One? 'You Better Start Stacking If You Want To Join That Group'",Bitcoin crossed a major milestone last month: 20 million coins have now been mined out of its fixed 21 million supply. That leaves less than 5% still to be...,Yahoo Entertainment
2026-04-16,Adams Diversified Equity Fund Announces First Quarter 2026 Performance,"BALTIMORE, April 16, 2026 (GLOBE NEWSWIRE) -- Adams Diversified Equity Fund, Inc. (NYSE: ADX) today announced the Fund’s investment returns for the first quarter of 2026. The total return on the Fund’s net asset value for the first quarter of 2026 was -4.8%, …",GlobeNewswire
2026-04-16,Tesla Cybertruck sales inflated by SpaceX buying spree,"SpaceX, the Musk-led rocket and satellite maker, accounted for 1,279 — or more than 18% — of the 7,071 Cybertrucks registered in the US during the fourth quarter.",The Daily Breeze
2026-04-16,WATCH: Roblox reaches $10 miillion settlement with Nevada in regards to child safety,"Roblox, the online gaming company popular with young children, reached a settlement with the state of Nevada in regards to child safety, Nevada's attorney general announced Wednesday.",Abcnews.com
2026-04-16,Tesla is facing up to $14.5 billion in lawsuits — and it’s only getting worse,"Tesla is currently fighting on more than 20 active litigation fronts, ranging from Autopilot wrongful death suits to securities fraud and racial discrimination — with total potential financial exposure reaching as high as $14.5 billion. The company’s “hardcor…",Electrek
2026-04-16,"'1,000 hp': This record-breaking electric motor packs Tesla Plaid EV power into a beer keg-sized device","The 12.5kg gas cylinder-sized motor achieves 8 kW per kilogram with a fault-tolerant design, targeting hydrogen hybrid regional aircraft under Project AMBER.",TechRadar
2026-04-16,"Tesla fining customers up to $50,000 for selling their cars",Here is how to check if your Tesla falls under these rules.,LADbible
2026-04-16,enyal-sdk added to PyPI,"ENYAL SDK — encrypted knowledge graph, local memory, permanent proof",Pypi.org
2026-04-16,Tesla Continues Slow Increase of Unsupervised Robotaxi in Austin – Now 13 Unsupervised,There are now 13 unsupervised Tesla robotaxi in Austin. There was a 2 months at the 8-10 unsupervised level. Three were added over the last 10 days. This would suggest about 20 by mid next week. NHTSA has reported no accidents in the Feb-Mid March timeframe. …,Next Big Future
2026-04-16,"Toyota’s $15,000 electric SUV surpasses 80,000 deliveries in China in its first year","The bZ3X, Toyota’s fully electric SUV, is a hit in China. After delivering over 80,000 units in its first year on the market, the bZ3X has now remained the best-selling EV from a joint venture in China for 7 months straight.



 more…",Electrek
2026-04-16,WATCH: President Trump: 'The Pope can disagree with me' on Iran having a nuclear weapon,"President Trump said Pope Leo XIV ""can disagree with me"" on Iran having a nuclear weapon in response to a question about the pope preaching the Gospel in his feud with Trump.",Abcnews.com
2026-04-16,Tesla Cyber SUV one step closer as Musk teases family car ‘cooler tha a minivan’,Tesla CEO Elon Musk may have just hinted at the company’s next product move: a...,Drive.com.au
2026-04-16,Ninepoint Partners Announces Anticipated Monthly Cash Distributions for its new US Stock Ninepoint HighShares ETFs,"TORONTO, April 16, 2026 (GLOBE NEWSWIRE) — Ninepoint Partners LP (“Ninepoint Partners”) today announced the anticipated initial monthly distributions for its new US single-stock Ninepoint HighShares ETFs, launched today. The first monthly distribution amounts…",Financial Post
2026-04-16,Tesla (TSLA): The Best EV Stock to Buy For Long Term Investment,,Yahoo Entertainment
2026-04-16,Ninepoint Partners Announces Anticipated Monthly Cash Distributions for its new US Stock Ninepoint HighShares ETFs,"TORONTO, April 16, 2026 (GLOBE NEWSWIRE) -- Ninepoint Partners LP (“Ninepoint Partners”) today announced the anticipated initial monthly distributions for its new US single-stock Ninepoint HighShares ETFs, launched today. The first monthly distribution amount…",GlobeNewswire
2026-04-16,Tesla Cybertruck Sales Propped Up By SpaceX Purchases,"Sales and production have also fallen short of the 250,000 mark by quite a wide margin.",Jalopnik
2026-04-16,TSMC’s CEO Calls Intel a Formidable Competitor but Says No Shortcuts Exist in the Foundry Game,"TSMC, in its Q1 2026 earnings call, talked a bit about Intel as a competitor in the foundry business while stating the benefits of its A14 process node. TSMC Posts Record Revenues But Acknowledges Its Competitors & Their Respective Technologies Good For The I…",Wccftech
2026-04-16,"Navee Earth Day e-scooter sale with up to 50% savings, Jackery Explorer 2000 Plus power station flash sale lows, ECOVACS, more","We’ve got plenty of low prices filling our Thursday Green Deals this week, starting with Navee’s Earth Day EV Sale that is seeing up to 50% combined discounts (thanks to the sitewide 15% bonus savings code) on e-scooters, like the budget-friendly V25 Electric…",Electrek
2026-04-16,"Mercedes reveals the C-Class EV interior for the first time, and it’s one huge screen [Images]","The new all-electric C-Class is “the sportiest C-Class ever,” according to Mercedes-Benz. With its debut just days away, Mercedes offered a first look at the interior, and it’s loaded with massive screens.



 more…",Electrek
